"SPY","SPY_monthly_adjusted_growth","date_join","AGG","AGG_monthly_adjusted_growth","ACWI","ACWI_monthly_adjusted_growth","value","treasury_monthly_return","salary"
550.81,0.0121,"Jul-2024",99.11,0.0242,114.13,0.0154,5.2,0.0043,80034.2465753424
544.22,0.0353,"Jun-2024",97.07,0.0088,112.4,0.0204,5.24,0.0044,79743.1506849315
527.37,0.0506,"May-2024",96.52,0.0167,111.08,0.0458,5.25,0.0044,79452.0547945205
501.98,-0.0403,"Apr-2024",95.23,-0.0248,106.22,-0.0355,5.24,0.0044,79160.9589041096
523.07,0.0327,"Mar-2024",97.94,0.009,110.13,0.0326,5.24,0.0044,78801.3698630137
508.08,0.0522,"Feb-2024",97.35,-0.0148,106.65,0.0451,5.24,0.0044,78441.7808219178
482.88,0.0159,"Jan-2024",99.1,-0.0015,102.05,0.0028,5.22,0.0043,78082.1917808219
475.31,0.0457,"Dec-2023",99.25,0.0369,101.77,0.0483,5.24,0.0044,77808.2191780822
456.4,0.0913,"Nov-2023",96.26,0.0459,98.02,0.0889,5.27,0.0044,77534.2465753424
418.2,-0.0217,"Oct-2023",92.31,-0.0157,90.02,-0.0254,5.34,0.0044,77260.2739726027
427.48,-0.0474,"Sep-2023",94.04,-0.0259,92.37,-0.0428,5.32,0.0044,76900.6849315068
450.35,-0.0163,"Aug-2023",96.8,-0.0063,96.5,-0.0291,5.3,0.0044,76541.0958904109
457.79,0.0327,"Jul-2023",97.68,-2e-04,99.39,0.036,5.25,0.0044,76181.5068493151
443.28,0.0648,"Jun-2023",97.95,-0.0037,95.94,0.0579,5.16,0.0043,75907.5342465753
417.85,0.0046,"May-2023",98.57,-0.0114,91.62,-0.0105,5.14,0.0043,75633.5616438356
415.93,0.016,"Apr-2023",99.96,0.0057,92.59,0.0157,4.92,0.0041,75359.5890410959
409.39,0.0371,"Mar-2023",99.64,0.0264,91.16,0.0333,4.69,0.0039,75119.8630136986
396.26,-0.0251,"Feb-2023",97.31,-0.0267,88.22,-0.0332,4.65,0.0039,74880.1369863014
406.48,0.0629,"Jan-2023",100.22,0.0333,91.25,0.075,4.54,0.0038,74640.4109589041
382.43,-0.0576,"Dec-2022",96.99,-0.0087,84.88,-0.0462,4.25,0.0035,74349.3150684931
407.68,0.0556,"Nov-2022",98.29,0.0381,89.67,0.0834,4.15,0.0035,74058.2191780822
386.21,0.0813,"Oct-2022",94.9,-0.0128,82.77,0.0635,3.72,0.0031,73767.1232876712
357.18,-0.0924,"Sep-2022",96.34,-0.0414,77.83,-0.0939,3.13,0.0026,73424.6575342466
395.18,-0.0408,"Aug-2022",100.71,-0.0304,85.9,-0.0436,2.63,0.0022,73082.1917808219
411.99,0.0921,"Jul-2022",104.07,0.0254,89.82,0.0707,2.23,0.0019,72739.7260273972
377.25,-0.0825,"Jun-2022",101.68,-0.0155,83.89,-0.0809,1.49,0.0012,72482.8767123287
412.93,0.0023,"May-2022",103.47,0.0076,92.14,0.0045,0.98,8e-04,72226.0273972602
412,-0.0878,"Apr-2022",102.87,-0.0381,91.73,-0.0807,0.76,6e-04,71969.1780821917
451.64,0.0376,"Mar-2022",107.1,-0.0281,99.78,0.0194,0.44,4e-04,71729.4520547945
436.63,-0.0295,"Feb-2022",110.36,-0.0115,97.88,-0.0306,0.33,3e-04,71489.7260273972
449.91,-0.0527,"Jan-2022",111.8,-0.02,100.97,-0.0455,0.15,1e-04,71250
474.96,0.0463,"Dec-2021",114.08,-0.0036,105.78,0.039,0.06,0,71061.6438356164
455.56,-0.008,"Nov-2021",114.77,0.0027,102.88,-0.0231,0.05,0,70873.2876712328
459.25,0.0702,"Oct-2021",114.64,-1e-04,105.31,0.0539,0.05,0,70684.9315068493
429.14,-0.0466,"Sep-2021",114.83,-0.0092,99.92,-0.0423,0.04,0,70582.1917808219
451.56,0.0298,"Aug-2021",116.06,-0.002,104.33,0.0217,0.05,0,70479.4520547945
438.51,0.0244,"Jul-2021",116.46,0.0112,102.11,0.0091,0.05,0,70376.7123287671
428.06,0.0225,"Jun-2021",115.33,0.0083,101.19,0.0126,0.04,0,70188.3561643835
420.04,0.0066,"May-2021",114.55,0.002,100.65,0.0147,0.02,0,70000
417.3,0.0529,"Apr-2021",114.49,0.0073,99.19,0.0425,0.02,0,69811.6438356164
396.33,0.0454,"Mar-2021",113.83,-0.0115,95.15,0.0285,0.03,0,69691.7808219178
380.36,0.0278,"Feb-2021",115.34,-0.0152,92.51,0.0229,0.04,0,69571.9178082191
370.07,-0.0102,"Jan-2021",117.31,-0.0074,90.44,-0.0031,0.08,1e-04,69452.0547945205
373.88,0.0371,"Dec-2020",118.19,9e-04,90.72,0.0469,0.09,1e-04,69332.1917808219
362.06,0.1088,"Nov-2020",118.42,0.0121,87.33,0.1176,0.09,1e-04,69212.3287671233
326.54,-0.0249,"Oct-2020",117.2,-0.0056,78.14,-0.0223,0.1,1e-04,69092.4657534246
334.89,-0.0374,"Sep-2020",118.06,-0.001,79.92,-0.0295,0.11,1e-04,69126.7123287671
349.31,0.0698,"Aug-2020",118.37,-0.0082,82.35,0.0603,0.1,1e-04,69160.9589041096
326.52,0.0589,"Jul-2020",119.56,0.0133,77.67,0.0536,0.13,1e-04,69195.205479452
308.36,0.0178,"Jun-2020",118.21,0.0066,73.72,0.0293,0.16,1e-04,69023.9726027397
304.32,0.0476,"May-2020",117.65,0.0067,72.22,0.0509,0.13,1e-04,68852.7397260274
290.48,0.127,"Apr-2020",117.1,0.0172,68.72,0.0983,0.14,1e-04,68681.506849315
257.75,-0.1246,"Mar-2020",115.37,-0.0053,62.57,-0.1341,0.29,2e-04,68544.5205479452
296.26,-0.0792,"Feb-2020",116.22,0.0159,72.26,-0.0749,1.52,0.0013,68407.5342465753
321.73,-4e-04,"Jan-2020",114.65,0.0203,78.11,-0.0144,1.52,0.0013,68270.5479452054
321.86,0.029,"Dec-2019",112.37,-5e-04,79.25,0.0343,1.54,0.0013,68133.5616438356
314.31,0.0362,"Nov-2019",112.86,-3e-04,77.54,0.0234,1.54,0.0013,67996.5753424657
303.33,0.0221,"Oct-2019",113.15,0.0021,75.77,0.0274,1.65,0.0014,67859.5890410958
296.77,0.0195,"Sep-2019",113.17,-0.0061,73.75,0.0225,1.89,0.0016,67705.4794520547
292.45,-0.0167,"Aug-2019",114.13,0.0278,72.13,-0.0221,1.95,0.0016,67551.3698630136
297.43,0.0151,"Jul-2019",111.3,0.0018,73.76,7e-04,2.1,0.0018,67397.2602739726
293,0.0696,"Jun-2019",111.35,0.011,73.71,0.0649,2.17,0.0018,67243.1506849315
275.27,-0.0638,"May-2019",110.4,0.0191,70.09,-0.0607,2.35,0.002,67089.0410958904
294.02,0.0409,"Apr-2019",108.59,-0.002,74.62,0.0342,2.38,0.002,66934.9315068493
282.48,0.0181,"Mar-2019",109.07,0.0212,72.15,0.0158,2.4,0.002,66797.9452054794
278.68,0.0324,"Feb-2019",107.07,-0.0011,71.03,0.0247,2.39,0.002,66660.9589041096
269.93,0.0801,"Jan-2019",107.46,0.0091,69.32,0.0804,2.37,0.002,66523.9726027397
249.92,-0.0879,"Dec-2018",106.49,0.0198,64.16,-0.0727,2.37,0.002,66386.9863013698
275.65,0.0185,"Nov-2018",104.88,0.0052,69.83,0.0159,2.33,0.0019,66250
270.63,-0.0691,"Oct-2018",104.59,-0.0064,68.74,-0.0743,2.25,0.0019,66113.0136986301
290.72,0.0059,"Sep-2018",105.52,-0.0062,74.26,0.0061,2.13,0.0018,65976.0273972602
290.31,0.0319,"Aug-2018",106.41,0.0057,73.81,0.007,2.03,0.0017,65839.0410958904
281.33,0.037,"Jul-2018",106.06,-3e-04,73.3,0.0307,1.96,0.0016,65702.0547945205
271.28,0.0058,"Jun-2018",106.32,0.001,71.12,-0.0058,1.9,0.0016,65565.0684931506
270.94,0.0243,"May-2018",106.46,0.0066,72.33,0.0047,1.86,0.0015,65428.0821917808
264.51,0.0052,"Apr-2018",106,-0.0094,71.99,0.004,1.76,0.0015,65291.0958904109
263.15,-0.0274,"Mar-2018",107.25,0.0067,71.7,-0.015,1.7,0.0014,65188.3561643835
271.65,-0.0364,"Feb-2018",106.77,-0.0101,72.79,-0.0448,1.57,0.0013,65085.6164383561
281.9,0.0564,"Jan-2018",108.1,-0.0113,76.2,0.057,1.41,0.0012,64982.8767123287
266.86,0.0121,"Dec-2017",109.33,0.0047,72.09,0.0145,1.32,0.0011,64880.1369863013
265.01,0.0306,"Nov-2017",109.08,-0.0015,71.72,0.0202,1.23,0.001,64777.3972602739
257.15,0.0236,"Oct-2017",109.47,0.001,70.3,0.0215,1.07,9e-04,64674.6575342465
251.23,0.0201,"Sep-2017",109.59,-0.0057,68.82,0.0188,1.03,9e-04,64571.9178082191
247.49,0.0029,"Aug-2017",110.45,0.0094,67.55,0.004,1.01,8e-04,64469.1780821917
246.77,0.0206,"Jul-2017",109.65,0.0033,67.28,0.0273,1.07,9e-04,64366.4383561643
241.8,0.0064,"Jun-2017",109.51,-2e-04,65.49,0.008,0.98,8e-04,64280.8219178082
241.44,0.0141,"May-2017",109.76,0.0069,65.7,0.0221,0.89,7e-04,64195.205479452
238.08,0.0099,"Apr-2017",109.25,0.0091,64.28,0.0161,0.8,7e-04,64109.5890410958
235.74,0.0013,"Mar-2017",108.49,-5e-04,63.26,0.0135,0.74,6e-04,63972.602739726
236.47,0.0393,"Feb-2017",108.77,0.0065,62.42,0.0251,0.52,4e-04,63835.6164383561
227.53,0.0179,"Jan-2017",108.29,0.0021,60.89,0.0291,0.51,4e-04,63698.6301369862
223.53,0.0203,"Dec-2016",108.06,0.0025,59.17,0.0196,0.51,4e-04,63595.8904109588
220.38,0.0368,"Nov-2016",108.24,-0.0257,58.57,0.0104,0.45,4e-04,63493.1506849314
212.55,-0.0173,"Oct-2016",111.3,-0.0082,57.97,-0.0191,0.33,3e-04,63390.410958904
216.3,1e-04,"Sep-2016",112.42,5e-04,59.1,0.0094,0.29,2e-04,63270.5479452054
217.38,0.0012,"Aug-2016",112.57,-0.0022,58.55,0.0034,0.3,3e-04,63150.6849315068
217.12,0.0365,"Jul-2016",113.02,0.0055,58.35,0.0377,0.3,3e-04,63030.8219178082
209.48,0.0035,"Jun-2016",112.615,0.0193,56.23,-5e-04,0.27,2e-04,62928.0821917808
209.84,0.017,"May-2016",110.7,1e-04,57,0.0033,0.27,2e-04,62825.3424657534
206.33,0.0039,"Apr-2016",110.89,0.0026,56.81,0.0134,0.23,2e-04,62722.602739726
205.52,0.0672,"Mar-2016",110.825,0.0087,56.06,0.0739,0.29,2e-04,62619.8630136986
193.56,-8e-04,"Feb-2016",110.09,0.0089,52.2,-0.0125,0.31,3e-04,62517.1232876712
193.72,-0.0498,"Jan-2016",109.35,0.0124,52.86,-0.053,0.26,2e-04,62414.3835616438
203.87,-0.0172,"Dec-2015",108.01,-0.0019,55.82,-0.0212,0.23,2e-04,62328.7671232876
208.69,0.0037,"Nov-2015",108.81,-0.0039,57.76,-0.0053,0.12,1e-04,62243.1506849314
207.93,0.0853,"Oct-2015",109.45,7e-04,58.07,0.0766,0.02,0,62157.5342465753
191.59,-0.025,"Sep-2015",109.58,0.0081,53.94,-0.0344,0.02,0,62089.0410958903
197.54,-0.0613,"Aug-2015",108.92,-0.0034,55.86,-0.0681,0.07,1e-04,62020.5479452054
210.45,0.0221,"Jul-2015",109.5,0.0086,59.94,0.0082,0.03,0,61952.0547945205
205.89,-0.0201,"Jun-2015",108.78,-0.0108,59.45,-0.0257,0.02,0,61849.3150684931
211.14,0.0129,"May-2015",110.17,-0.0044,61.74,0,0.02,0,61746.5753424657
208.46,0.0098,"Apr-2015",110.86,-0.0032,61.74,0.0287,0.02,0,61643.8356164383
206.43,-0.0157,"Mar-2015",111.43,0.0038,60.02,-0.0146,0.03,0,61541.0958904109
210.66,0.0562,"Feb-2015",111.2,-0.0089,60.91,0.0551,0.02,0,61438.3561643835
199.45,-0.0296,"Jan-2015",112.38,0.0205,57.73,-0.0132,0.03,0,61335.6164383561
205.54,-0.0026,"Dec-2014",110.12,0.0015,58.5,-0.0237,0.03,0,61232.8767123287
207.2,0.0275,"Nov-2014",110.61,0.0083,60.43,0.0138,0.02,0,61130.1369863013
201.66,0.0236,"Oct-2014",109.888,0.0089,59.61,0.0121,0.02,0,61027.3972602739
197.02,-0.0138,"Sep-2014",109.11,-0.0061,58.9,-0.0332,0.02,0,60924.6575342465
200.71,0.0395,"Aug-2014",109.98,0.0115,60.92,0.0258,0.03,0,60821.9178082191
193.09,-0.0134,"Jul-2014",108.93,-0.0025,59.39,-0.0144,0.03,0,60719.1780821917
195.72,0.0206,"Jun-2014",109.4,0.0013,60.26,0.0182,0.04,0,60650.6849315068
192.68,0.0232,"May-2014",109.46,0.0117,60.01,0.0201,0.03,0,60582.1917808219
188.31,0.007,"Apr-2014",108.39,0.0064,58.83,0.0119,0.03,0,60513.6986301369
187.01,0.0083,"Mar-2014",107.91,-0.0015,58.14,0.0057,0.05,0,60445.205479452
186.29,0.0455,"Feb-2014",108.27,0.0038,57.81,0.052,0.05,0,60376.7123287671
178.18,-0.0352,"Jan-2014",108.07,0.0154,54.95,-0.0463,0.04,0,60308.2191780821
184.69,0.0259,"Dec-2013",106.43,-0.0056,57.62,0.0206,0.07,1e-04,60222.602739726
181,0.0296,"Nov-2013",107.44,-0.0025,56.92,0.0155,0.07,1e-04,60136.9863013698
175.79,0.0463,"Oct-2013",107.899,0.0083,56.05,0.0395,0.05,0,60051.3698630136
168.01,0.0317,"Sep-2013",107.2,0.0112,53.92,0.0554,0.02,0,60017.1232876712
163.65,-0.03,"Aug-2013",106.21,-0.0083,51.09,-0.0229,0.04,0,59982.8767123287
168.71,0.0517,"Jul-2013",107.3,0.0027,52.29,0.0458,0.04,0,59948.6301369862
160.42,-0.0134,"Jun-2013",107.21,-0.0157,50,-0.0261,0.05,0,59897.2602739725
163.45,0.0236,"May-2013",109.11,-0.02,51.99,-0.0038,0.04,0,59845.8904109589
159.68,0.0192,"Apr-2013",111.54,0.0097,52.19,0.0284,0.06,0,59794.5205479452
156.67,0.038,"Mar-2013",110.73,0.001,50.75,0.0183,0.09,1e-04,59743.1506849315
151.61,0.0128,"Feb-2013",110.83,0.0059,49.84,-0.001,0.1,1e-04,59691.7808219178
149.7,0.0512,"Jan-2013",110.39,-0.0062,49.89,0.0376,0.07,1e-04,59640.410958904
142.41,0.009,"Dec-2012",111.08,-0.0024,48.08,0.0289,0.07,1e-04,59589.0410958904
142.15,0.0057,"Nov-2012",112.25,0.0027,47.19,0.0159,0.09,1e-04,59537.6712328767
141.35,-0.0182,"Oct-2012",112.19,-5e-04,46.45,-0.0051,0.1,1e-04,59486.301369863
143.97,0.0254,"Sep-2012",112.448,0.0026,46.69,0.0271,0.11,1e-04,59452.0547945205
141.16,0.0251,"Aug-2012",112.37,0,45.46,0.0278,0.1,1e-04,59417.808219178
137.71,0.0118,"Jul-2012",112.59,0.0136,44.23,0.0082,0.1,1e-04,59383.5616438356
136.1,0.0405,"Jun-2012",111.3,-2e-04,43.87,0.0511,0.09,1e-04,59315.0684931506
131.47,-0.0601,"May-2012",111.56,0.0108,42.33,-0.0928,0.09,1e-04,59246.5753424657
139.87,-0.0067,"Apr-2012",110.6,0.0091,46.66,-0.0114,0.08,1e-04,59178.0821917808
140.81,0.0322,"Mar-2012",109.85,-0.0057,47.2,0.0111,0.08,1e-04,59109.5890410958
137.02,0.0434,"Feb-2012",110.76,-1e-04,46.68,0.0495,0.09,1e-04,59041.0958904109
131.32,0.0464,"Jan-2012",111.05,0.0073,44.48,0.0548,0.03,0,58972.602739726
125.5,0.0104,"Dec-2011",110.25,0.0136,42.17,-0.0099,0.01,0,58921.2328767123
124.99,-0.0041,"Nov-2011",109.38,-0.0033,43.05,-0.0115,0.01,0,58869.8630136986
125.5,0.1091,"Oct-2011",110.03,0.0013,43.55,0.1132,0.02,0,58818.4931506849
113.15,-0.0695,"Sep-2011",110.11,0.0077,39.12,-0.1044,0.01,0,58801.3698630137
122.22,-0.055,"Aug-2011",109.5,0.0152,43.68,-0.0736,0.02,0,58784.2465753424
129.33,-0.02,"Jul-2011",108.16,0.0169,47.15,-0.0228,0.04,0,58767.1232876712
131.97,-0.0169,"Jun-2011",106.67,-0.0045,48.25,-0.0175,0.04,0,58715.7534246575
134.9,-0.0112,"May-2011",107.46,0.0124,49.7,-0.0195,0.04,0,58664.3835616438
136.43,0.029,"Apr-2011",106.46,0.0157,50.69,0.0482,0.06,0,58613.0136986301
132.59,1e-04,"Mar-2011",105.13,-0.0022,48.36,-0.0086,0.1,1e-04,58561.6438356164
133.15,0.0347,"Feb-2011",105.65,0.0029,48.78,0.0311,0.13,1e-04,58510.2739726027
128.68,0.0233,"Jan-2011",105.66,-9e-04,47.31,0.0107,0.15,1e-04,58458.904109589
125.75,0.0668,"Dec-2010",105.75,-0.0067,46.81,0.0778,0.14,1e-04,58373.2876712328
118.49,0,"Nov-2010",107.37,-0.0084,43.85,-0.0219,0.14,1e-04,58287.6712328767
118.49,0.0382,"Oct-2010",108.55,0.0015,44.83,0.0375,0.13,1e-04,58202.0547945205
114.13,0.0896,"Sep-2010",108.65,1e-04,43.21,0.0981,0.15,1e-04,58184.9315068493
105.31,-0.045,"Aug-2010",108.94,0.0129,39.35,-0.0428,0.16,1e-04,58167.808219178
110.27,0.0683,"Jul-2010",107.85,0.0086,41.11,0.0934,0.16,1e-04,58150.6849315068
103.22,-0.0517,"Jun-2010",107.25,0.0177,37.6,-0.0356,0.12,1e-04,58082.1917808219
109.37,-0.0795,"May-2010",105.71,0.0108,39.34,-0.0938,0.16,1e-04,58013.698630137
118.81,0.0155,"Apr-2010",104.89,0.0097,43.41,-0.0023,0.16,1e-04,57945.205479452
117,0.0609,"Mar-2010",104.2,-1e-04,43.51,0.0633,0.15,1e-04,57876.7123287671
110.74,0.0312,"Feb-2010",104.53,0.002,40.92,0.0217,0.11,1e-04,57808.2191780822
107.39,-0.0363,"Jan-2010",104.65,0.0141,40.05,-0.053,0.06,0,57739.7260273972
111.44,0.0191,"Dec-2009",103.19,-0.0188,42.29,0.0187,0.05,0,57654.1095890411
109.94,0.0616,"Nov-2009",105.83,0.0129,41.79,0.054,0.05,0,57568.4931506849
103.56,-0.0192,"Oct-2009",104.81,0.0022,39.65,-0.027,0.07,1e-04,57482.8767123287
105.59,0.0355,"Sep-2009",104.92,0.0119,40.75,0.0486,0.12,1e-04,57448.6301369863
102.46,0.0369,"Aug-2009",104.02,0.0122,38.86,0.0297,0.17,1e-04,57414.3835616438
98.81,0.0746,"Jul-2009",103.1,0.0127,37.74,0.0942,0.18,1e-04,57380.1369863013
91.95,-7e-04,"Jun-2009",102.15,0.0042,34.49,-0.0152,0.18,1e-04,57260.2739726027
92.53,0.0585,"May-2009",102.03,0.0071,35.3,0.1048,0.18,1e-04,57140.4109589041
87.42,0.0993,"Apr-2009",101.64,0.0052,31.95,0.1278,0.16,1e-04,57020.5479452054
79.52,0.0835,"Mar-2009",101.47,0.011,28.33,0.0921,0.21,2e-04,56900.6849315068
73.93,-0.1074,"Feb-2009",100.69,-0.0105,25.94,-0.0971,0.3,3e-04,56780.8219178082
82.83,-0.0821,"Jan-2009",102.13,-0.0199,28.73,-0.1138,0.13,1e-04,56660.9589041096
90.24,0.0098,"Dec-2008",104.2,0.0665,32.42,0.0614,0.03,0,56558.2191780822
90.09,-0.0696,"Nov-2008",98.45,0.0303,30.74,-0.0876,0.19,2e-04,56455.4794520548
96.83,-0.1652,"Oct-2008",95.96,-0.0228,33.69,-0.1841,0.67,6e-04,56352.7397260274
115.99,-0.0944,"Sep-2008",98.59,-0.0176,41.29,-0.1226,1.13,9e-04,56164.3835616438
128.79,0.0155,"Aug-2008",100.75,0.0074,47.06,-0.0167,1.72,0.0014,55976.0273972602
126.83,-0.009,"Jul-2008",100.41,0.0039,47.86,-0.0316,1.63,0.0014,55787.6712328767
127.98,-0.0835,"Jun-2008",100.4,-0.0019,49.42,-0.0799,1.86,0.0015,55650.6849315068
140.35,0.0151,"May-2008",100.98,-0.0126,53.71,0.0086,1.73,0.0014,55513.698630137
